,0
1401,0.01
1402,-0.17
1403,0.99
1404,0.02
1405,-0.14
1406,0.99
1407,-0.01
1408,-0.17
1409,1.01
1410,0.02
1411,-0.18
1412,0.99
1413,0.02
1414,-0.13
1415,1.0
1416,-0.02
1417,-0.17
1418,1.01
1419,0.03
1420,-0.18
1421,0.98
1422,0.01
1423,-0.13
1424,1.0
1425,-0.02
1426,-0.18
1427,1.01
1428,0.04
1429,-0.18
1430,0.98
1431,0.0
1432,-0.13
1433,1.0
1434,-0.01
1435,-0.17
1436,1.01
1437,0.03
1438,-0.17
1439,0.99
1440,-0.0
1441,-0.15
1442,1.01
1443,0.0
1444,-0.17
1445,1.0
1446,0.02
1447,-0.15
1448,0.99
1449,-0.01
1450,-0.17
1451,1.0
1452,0.02
1453,-0.16
1454,0.99
1455,0.01
1456,-0.15
1457,1.0
1458,0.0
1459,-0.18
1460,1.0
1461,0.02
1462,-0.15
1463,0.99
1464,-0.01
1465,-0.15
1466,1.01
1467,0.01
1468,-0.2
1469,0.99
1470,0.02
1471,-0.13
1472,0.99
1473,-0.02
1474,-0.16
1475,1.02
1476,0.03
1477,-0.19
1478,0.98
1479,0.02
1480,-0.13
1481,1.0
1482,-0.03
1483,-0.17
1484,1.02
1485,0.04
1486,-0.18
1487,0.98
1488,0.01
1489,-0.13
1490,1.0
1491,-0.02
1492,-0.17
1493,1.02
1494,0.04
1495,-0.17
1496,0.97
1497,-0.0
1498,-0.14
1499,1.0
1500,-0.02
1501,-0.18
1502,1.01
1503,0.04
1504,-0.16
1505,0.98
1506,-0.01
1507,-0.15
1508,1.0
1509,-0.0
1510,-0.17
1511,1.01
1512,0.03
1513,-0.16
1514,0.99
1515,-0.01
1516,-0.16
1517,1.0
1518,0.01
1519,-0.16
1520,1.0
1521,0.02
1522,-0.16
1523,1.0
1524,0.0
1525,-0.17
1526,0.99
1527,0.01
1528,-0.15
1529,1.0
1530,0.0
1531,-0.16
1532,1.01
1533,0.01
1534,-0.18
1535,0.99
1536,0.02
1537,-0.18
1538,0.98
1539,0.0
1540,-0.13
1541,1.01
1542,-0.0
1543,-0.18
1544,1.01
1545,0.04
1546,-0.17
1547,0.98
1548,-0.01
1549,-0.13
1550,1.01
1551,0.0
1552,-0.19
1553,1.01
1554,0.04
1555,-0.16
1556,0.97
1557,-0.02
1558,-0.14
1559,1.02
1560,0.01
1561,-0.19
1562,1.0
1563,0.04
1564,-0.15
1565,0.98
1566,-0.03
1567,-0.15
1568,1.02
1569,0.02
1570,-0.19
1571,0.99
1572,0.03
1573,-0.14
1574,0.98
1575,-0.03
1576,-0.16
1577,1.02
1578,0.04
1579,-0.18
1580,0.98
1581,0.01
1582,-0.13
1583,0.99
1584,-0.03
1585,-0.18
1586,1.02
1587,0.05
1588,-0.17
1589,0.98
1590,0.0
1591,-0.13
1592,1.0
1593,-0.02
1594,-0.18
1595,1.01
1596,0.05
1597,-0.16
1598,0.98
1599,-0.01
1600,-0.14
1601,1.0
1602,-0.0
1603,-0.18
1604,1.0
1605,0.04
1606,-0.15
1607,0.99
1608,-0.01
1609,-0.16
1610,1.0
1611,0.01
1612,-0.18
1613,1.0
1614,0.03
1615,-0.15
1616,1.0
1617,-0.01
1618,-0.17
